,tweet,date
74,Dear god PLEASE bring cam newton back to carolina 😂😂 #CamNewton #carolinapanthers #patriots #nfl #camvp https://t.co/Drq1LuBz5m,2020-09-21 14:37:33
75,I NEVER liked @Patriots but I am feeling like I need to root for @CameronNewton. So like @IssaRae said... I’m rooti… https://t.co/59FCSKyF5W,2020-09-21 14:32:30
76,"Despite the Patriots loss on Sunday night, #CamNewton has played amazing.

(30/44) for 397 pass yards
11 carries, 4… https://t.co/ctZvBLn1BE",2020-09-21 14:31:23
77,"Despite the Patriots loss on Sunday night, #CamNewton has played amazing.

(30/44) for 397 pass yards
11 carries, 4… https://t.co/4rKOrexvzf",2020-09-21 14:30:56
78,"#NFL 
#CamNewton 

#TruthBeBlack 🏈📣💯

https://t.co/XJhHWGlyXK",2020-09-21 14:30:19
79,Cam newton can't play cam newton is washed up cam newton sucks ...lol who said all that shit? #camnewton #NewEnglandPatriots #patriots,2020-09-21 14:30:03
80,"Nada mal por un QB que está entre los peores pagados de la @nfl. 
#CamNewton 
Y #Edelman anda demostrando que es él… https://t.co/jGz7xPRy99",2020-09-21 14:25:31
81,"#WandaVision
#CamNewton 
#90DayFiance
#RHOP
#Zendaya
#CamNewton 
#21stofSeptember
#MondayMotivation
#Plumlee… https://t.co/ksLqTWOZng",2020-09-21 14:23:51
82,Happy to see cam Newton playing ball again. Football is back and I love it. Hooyah Cam. You got some big ass teeth… https://t.co/4ZRqmRIf8d,2020-09-21 14:23:11
83,"Impressed, again, by #CamNewton. Not at all impressed by @Patriots defense that allowed FIVE passing TDs by… https://t.co/aAPMfRtgs5",2020-09-21 14:18:26
84,"“Moving forward, we have a lot of things to be optimistic about, but yet we still have to get better.” -… https://t.co/NEvfFJl7L6",2020-09-21 14:18:20
85,After that performance last night in Seattle old Julian Edelman is definitely gonna be  getting a random drug test.… https://t.co/m4RwEuhJMX,2020-09-21 14:16:50
86,The Colts could have had #CamNewton and they chose #philliprivers... After the first two weeks of the season... let that sink in.,2020-09-21 14:12:12
87,Cam Newton vs any other Qb last night. Just let that sink in #Patriots #CamNewton,2020-09-21 14:07:23
88,#CamNewton still got it! https://t.co/MKU4hEp9Ud,2020-09-21 14:03:40
89,.@CameronNewton running through a teams D line is like watching Dalí paint. He’s a master of his craft! #Patriots #CamNewton,2020-09-21 13:54:54
90,"@quiquegaray Pues con #TomBrady hubiera anotado en esa última jugada.
#CamNewton es bueno pero jamás sobresalió y n… https://t.co/X94tM8MWco",2020-09-21 13:46:56
91,What do people have to say about @CameronNewton now.... Threw for almost 400 yards against this @Seahawks defense..… https://t.co/uPuk2t1FKM,2020-09-21 13:39:35
92,"Check out my latest video ""How The Seattle Seahawks Defeated The New England Patriots""
#patriots #seahawks #12thman… https://t.co/kdR11QXG3q",2020-09-21 13:34:43
93,"@richeisen .@CameronNewton was meant to be coached by Belichick. 

#CamNewton",2020-09-21 13:29:51
94,Just from the one game the patriots need to extend Cam newtons contract already #Patriots #NewEngland #CamNewton,2020-09-21 13:29:40
95,"@CameronNewton You, and the whole team played your butts off. That's all us fans can ask for. Games like last night… https://t.co/fWQAQKa5XO",2020-09-21 13:24:59
96,Fuck yeah they do!!! #CamNewton Daaaaaaamn Cam! https://t.co/vUv6cuzFqr,2020-09-21 13:14:44
97,"NFL Week 2 injury tracker: Saquon Barkley, Nick Bosa leave game as Giants
#NFLFreeAgency
#NFLRookies… https://t.co/T5nWoSzAsQ",2020-09-21 13:12:58
98,"Today’s Show @GerryCallahan

1️⃣ @RealUncleTB 
2️⃣ #NFL #Patriots #CamNewton 
3️⃣ #RBG 

&amp; much more!

👉 Subscribe… https://t.co/za9ptkzA5Q",2020-09-21 13:08:18
99,Team #CamNewton https://t.co/rD9bqL84CO,2020-09-21 13:07:20
100,"😱 Ese Cam es de verdad...

¿Todavía extrañamos a Tom Brady, amigos Pats? 👀🤔🏈

#Meme #TomBrady #Patriots #CamNewton https://t.co/Oqdi9wgJlw",2020-09-21 13:03:00
101,#Another Monday #camnewton #mondaymotivation #mondaythoughts #emmys #BROWNS #dubstep #trance #Hiphop #listen… https://t.co/XfrrCFGW7q,2020-09-21 13:02:45
102,#CamNewton,2020-09-21 12:55:53
103,Cam Newton is on pace for 32 rushing TDS this season #CamNewton,2020-09-21 12:23:37
104,"What we learned from Sunday's Week 2 games 
#NFLFreeAgency
#NFLRookies
#NFLPowerRankings
#NFLTrades 
#Week2… https://t.co/NycXrFKIYa",2020-09-21 12:16:11
105,@gmfb @KyleBrandt is hilarious 🤣 he just said @Seahawks flipped #CamNewton and jumped him 😩🤦🏾‍♂️🤣😂,2020-09-21 12:14:54
106,Who said Cam was washed up? How many teams passed on him? He's baaaaaack. Unreal performance. #CamNewton https://t.co/CxNFkxsn5X,2020-09-21 12:10:42
107,#CamNewton you see what Murray did here? He shot to the outside...&amp; scored from 10 yrds away...imagine if you did t… https://t.co/Awt4tqRncN,2020-09-21 12:06:28
108,"Things I learned in the NFL week 2:

1. This may finally be the Russell Wilson #MVP year. 
2. Matt Ryan can still s… https://t.co/GJEw2OedGY",2020-09-21 12:03:42
109,To all the people who were #CamNewton haters and wanted him gone I hope you are enjoying the new tune the #Panthers… https://t.co/lKhbDlNqxD,2020-09-21 12:02:48
110,Despite the loss #CamNewton looked great last night . I’m pulling for ya big dawg,2020-09-21 12:01:51
